time,neuron_a_firing,neuron_a_priority,neuron_a_energy,neuron_b_firing,neuron_b_priority,neuron_b_energy,total_firing,alert_level
0,1,1.020,89.90,1,1.020,89.90,100,0.000
1,0,1.098,90.00,0,1.098,90.00,0,0.000
2,0,1.024,90.10,0,1.024,90.10,0,0.000
3,0,1.022,90.20,0,1.022,90.20,0,0.000
4,0,1.020,90.30,0,1.020,90.30,0,0.000
5,0,1.018,90.39,1,1.018,80.20,46,0.000
6,1,1.068,80.29,0,1.042,80.49,41,0.000
7,0,1.029,80.58,0,1.061,80.78,6,0.000
8,0,1.028,80.87,0,1.021,81.07,0,0.000
9,0,1.018,81.16,0,1.019,81.35,0,0.000
10,0,1.017,81.43,1,1.017,71.25,46,0.000
11,1,1.062,71.33,0,1.039,71.72,41,0.000
12,0,1.027,71.81,0,1.056,72.19,6,0.000
13,0,1.026,72.27,0,1.020,72.64,0,0.000
14,0,1.018,72.72,0,1.018,73.09,0,0.000
15,0,1.016,73.17,1,1.016,62.99,46,0.000
16,1,1.059,63.07,0,1.037,63.63,41,0.000
17,0,1.026,63.71,0,1.054,64.26,6,0.000
18,0,1.025,64.33,0,1.019,64.87,0,0.000
19,0,1.017,64.95,0,1.017,65.47,0,0.000
20,0,1.015,65.55,1,1.016,55.37,46,0.000
21,1,1.057,55.45,0,1.036,56.17,41,0.000
22,0,1.026,56.24,0,1.052,56.94,6,0.000
23,0,1.025,57.01,0,1.019,57.70,0,0.000
24,0,1.017,57.77,0,1.017,58.45,0,0.000
25,0,1.015,58.52,1,1.016,48.35,46,0.000
26,1,1.056,48.42,0,1.035,49.28,41,0.000
27,0,1.025,49.35,0,1.051,50.20,6,0.000
28,0,1.025,50.26,0,1.019,51.09,0,0.000
29,0,1.017,51.16,0,1.017,51.97,0,0.000
30,0,1.015,52.03,1,1.015,41.87,46,0.000
31,1,1.055,41.93,0,1.035,42.93,41,0.000
32,0,1.025,43.00,0,1.050,43.98,6,0.000
33,0,1.024,44.04,0,1.019,45.00,0,0.000
34,0,1.017,45.06,0,1.017,46.00,0,0.000
35,0,1.015,46.05,1,1.015,35.90,46,0.000
36,1,1.055,35.95,0,1.034,37.08,41,0.000
37,0,1.025,37.14,0,1.050,38.24,6,0.000
38,0,1.024,38.29,0,1.019,39.37,0,0.000
39,0,1.017,39.43,0,1.017,40.48,0,0.000
40,0,1.015,40.54,1,1.015,30.38,45,0.000
41,1,1.054,30.44,0,1.034,31.68,42,0.000
42,0,1.025,31.73,0,1.050,32.94,6,0.000
43,0,1.024,32.99,0,1.019,34.18,0,0.000
44,0,1.017,34.23,0,1.017,35.40,0,0.000
45,0,1.015,35.45,1,1.015,25.30,22,0.000
46,1,1.034,25.35,0,1.027,26.69,56,0.000
47,0,1.043,26.74,0,1.056,28.06,15,0.000
48,0,1.024,28.11,0,1.019,29.40,0,0.000
49,0,1.017,29.45,0,1.017,30.71,1,0.000
50,0,1.015,30.76,0,1.015,32.00,3,0.000
51,1,1.020,20.66,1,1.014,21.90,27,0.000
52,0,1.041,22.14,0,1.026,23.36,43,0.000
53,0,1.037,23.60,0,1.056,24.79,17,0.000
54,0,1.017,25.03,0,1.018,26.20,2,0.000
55,0,1.016,26.43,0,1.016,27.57,2,0.000
56,0,1.014,27.80,0,1.014,28.92,0,0.000
57,0,1.013,29.14,0,1.013,30.24,4,0.000
58,1,1.019,19.04,1,1.012,20.14,28,0.000
59,0,1.048,20.56,0,1.026,21.64,43,0.000
60,0,1.030,22.05,0,1.057,23.11,17,0.000
61,0,1.016,23.51,0,1.016,24.55,3,0.000
62,0,1.014,24.94,0,1.015,25.95,1,0.000
63,0,1.013,26.34,0,1.013,27.34,1,0.000
64,0,1.011,27.72,0,1.012,28.69,3,0.000
65,1,1.018,17.62,1,1.011,18.59,30,0.000
66,0,1.049,19.16,0,1.025,20.12,38,0.000
67,0,1.030,20.68,0,1.057,21.61,22,0.000
68,0,1.015,22.17,0,1.016,23.08,2,0.000
69,0,1.013,23.62,0,1.014,24.52,0,0.000
70,0,1.012,25.05,0,1.013,25.93,2,0.000
71,0,1.011,26.45,0,1.011,27.31,2,0.000
72,0,1.010,27.82,1,1.010,17.21,26,0.000
73,1,1.040,17.72,0,1.025,18.77,41,0.000
74,0,1.044,19.27,0,1.058,20.29,22,0.000
75,0,1.015,20.78,0,1.015,21.79,3,0.000
76,0,1.013,22.26,0,1.014,23.25,2,0.000
77,0,1.012,23.72,0,1.012,24.69,0,0.000
78,0,1.011,25.15,0,1.011,26.09,4,0.000
79,1,1.017,15.05,1,1.010,15.99,27,0.000
80,0,1.049,16.64,0,1.025,17.57,40,0.000
81,0,1.030,18.21,0,1.058,19.12,20,0.000
82,0,1.014,19.75,0,1.015,20.64,4,0.000
83,0,1.013,21.25,0,1.014,22.13,1,0.000
84,0,1.012,22.73,0,1.012,23.58,0,0.000
85,0,1.010,24.17,0,1.011,25.01,3,0.000
86,0,1.009,25.59,1,1.010,14.91,27,0.000
87,1,1.048,15.49,0,1.025,16.51,44,0.000
88,0,1.037,17.08,0,1.058,18.08,18,0.000
89,0,1.014,18.64,0,1.015,19.62,2,0.000
90,0,1.013,20.17,0,1.014,21.13,2,0.000
91,0,1.012,21.66,0,1.012,22.61,1,0.000
92,0,1.010,23.13,0,1.011,24.05,3,0.000
93,0,1.009,24.57,1,1.010,13.95,26,0.000
94,1,1.048,14.47,0,1.025,15.57,44,0.000
95,0,1.037,16.08,0,1.058,17.16,18,0.000
96,0,1.014,17.66,0,1.015,18.72,3,0.000
97,0,1.013,19.20,0,1.013,20.25,2,0.000
98,0,1.012,20.72,0,1.012,21.74,0,0.000
99,0,1.010,22.20,0,1.011,23.21,3,0.000
100,0,1.009,23.66,1,1.010,13.11,26,0.000
101,1,1.048,13.56,0,1.025,14.74,44,0.000
102,0,1.037,15.19,0,1.058,16.35,19,0.000
103,0,1.014,16.78,0,1.015,17.92,2,0.000
104,0,1.013,18.35,0,1.013,19.46,2,0.000
105,0,1.012,19.88,0,1.012,20.97,0,0.000
106,0,1.010,21.38,0,1.011,22.45,3,0.000
107,0,1.009,22.86,1,1.010,12.35,26,0.000
108,1,1.048,12.76,0,1.025,14.01,44,0.000
109,0,1.037,14.40,0,1.058,15.63,19,0.000
110,0,1.054,16.01,0,1.055,17.21,2,0.000
111,0,1.049,17.59,0,1.049,18.77,3,0.000
112,0,1.044,19.14,0,1.045,20.30,0,0.000
113,0,1.040,20.66,0,1.040,21.79,0,0.000
114,0,1.036,22.15,0,1.036,23.25,0,0.000
115,0,1.032,23.60,0,1.032,24.69,0,0.000
116,0,1.029,25.03,0,1.029,26.09,3,0.000
117,0,1.026,26.43,0,1.026,27.47,0,0.000
118,0,1.023,27.80,0,1.024,28.82,0,0.000
119,0,1.021,29.15,0,1.021,30.15,0,0.000
120,1,1.031,19.05,1,1.031,20.05,95,0.000
121,0,1.099,20.56,0,1.099,21.55,1,0.000
122,0,1.033,22.05,0,1.033,23.01,0,0.000
123,0,1.030,23.51,0,1.030,24.45,0,0.000
124,0,1.027,24.94,0,1.027,25.87,0,0.000
125,1,1.024,14.84,1,1.024,15.77,90,0.000
126,0,1.086,16.44,0,1.086,17.35,6,0.000
127,0,1.028,18.02,0,1.028,18.90,0,0.000
128,0,1.025,19.56,0,1.025,20.43,0,0.000
129,0,1.022,21.06,0,1.022,21.92,0,0.000
130,0,1.042,22.54,0,1.042,23.38,3,0.000
131,0,1.038,23.99,0,1.038,24.81,0,0.000
132,0,1.034,25.41,0,1.034,26.21,0,0.000
133,0,1.031,26.80,0,1.031,27.59,0,0.000
134,0,1.028,28.17,0,1.028,28.94,0,0.000
135,0,1.025,29.50,0,1.025,30.26,3,0.000
136,0,1.022,30.81,0,1.022,31.55,0,0.000
137,0,1.020,32.10,0,1.020,32.82,0,0.000
138,0,1.018,33.36,0,1.018,34.07,0,0.000
139,0,1.016,34.59,0,1.016,35.29,0,0.000
140,1,1.033,24.49,1,1.033,25.19,96,0.000
141,0,1.103,25.90,0,1.103,26.58,0,0.000
142,0,1.035,27.28,0,1.035,27.95,0,0.000
143,0,1.031,28.64,0,1.031,29.29,0,0.000
144,0,1.028,29.96,0,1.028,30.61,0,0.000
145,1,1.025,19.86,1,1.025,20.51,96,0.000
146,0,1.088,21.37,0,1.088,22.00,0,0.000
147,0,1.029,22.84,0,1.029,23.46,0,0.000
148,0,1.026,24.28,0,1.026,24.89,0,0.000
149,0,1.023,25.70,0,1.023,26.29,0,0.000
150,0,1.040,27.08,0,1.040,27.66,3,0.000
151,0,1.036,28.44,0,1.036,29.01,0,0.000
152,0,1.033,29.77,0,1.033,30.33,0,0.000
153,0,1.029,31.08,0,1.029,31.62,0,0.000
154,0,1.027,32.35,0,1.027,32.89,0,0.000
155,0,1.024,33.61,0,1.024,34.13,3,0.000
156,0,1.021,34.84,0,1.021,35.35,0,0.000
157,0,1.019,36.04,0,1.019,36.54,0,0.000
158,0,1.017,37.22,0,1.017,37.71,0,0.000
159,0,1.016,38.37,0,1.016,38.86,2,0.000
160,1,1.033,28.27,1,1.051,28.76,94,0.000
161,0,1.103,29.61,0,1.087,30.08,0,0.000
162,0,1.035,30.92,0,1.035,31.38,0,0.000
163,0,1.031,32.20,0,1.031,32.65,0,0.000
164,0,1.028,33.45,0,1.028,33.90,2,0.000
165,1,1.025,23.35,1,1.042,23.80,94,0.000
166,0,1.089,24.79,0,1.074,25.22,0,0.000
167,0,1.029,26.19,0,1.028,26.62,0,0.000
168,0,1.026,27.57,0,1.026,27.99,0,0.000
169,0,1.023,28.92,0,1.023,29.33,2,0.000
170,0,1.040,30.24,0,1.055,30.64,3,0.000
171,0,1.036,31.53,0,1.038,31.93,0,0.000
172,0,1.033,32.80,0,1.034,33.19,0,0.000
173,0,1.029,34.05,0,1.031,34.43,0,0.000
174,0,1.026,35.27,0,1.028,35.64,0,0.000
175,0,1.024,36.46,0,1.025,36.82,3,0.000
176,0,1.021,37.63,0,1.022,37.99,0,0.000
177,0,1.019,38.78,0,1.020,39.13,0,0.000
178,0,1.017,39.90,0,1.018,40.25,0,0.000
179,0,1.016,41.00,0,1.016,41.34,0,0.000
180,1,1.033,30.90,1,1.034,31.24,96,0.000
181,0,1.103,32.19,0,1.103,32.52,0,0.000
182,0,1.035,33.44,0,1.036,33.77,0,0.000
183,0,1.032,34.67,0,1.032,34.99,0,0.000
184,0,1.028,35.88,0,1.029,36.19,0,0.000
185,1,1.026,25.78,1,1.026,26.09,96,0.000
186,0,1.089,27.16,0,1.088,27.47,0,0.000
187,0,1.029,28.52,0,1.029,28.82,0,0.000
188,0,1.026,29.85,0,1.026,30.14,0,0.000
189,0,1.023,31.15,0,1.023,31.44,0,0.000
190,0,1.040,32.43,0,1.040,32.71,3,0.000
191,0,1.036,33.68,0,1.036,33.96,0,0.000
192,0,1.033,34.91,0,1.033,35.18,0,0.000
193,0,1.029,36.11,0,1.029,36.37,0,0.000
194,0,1.026,37.29,0,1.027,37.55,0,0.000
195,0,1.024,38.44,0,1.024,38.70,3,0.000
196,0,1.021,39.57,0,1.022,39.82,0,0.000
197,0,1.019,40.68,0,1.019,40.93,0,0.000
198,0,1.017,41.77,0,1.017,42.01,0,0.000
199,0,1.016,42.83,0,1.016,43.07,1,0.000
